Date,Front,Event_Type,Description,Penetration_km,Penetration_qualitative,Strategic_Significance,Source_URLs
2023-10-07,Gaza,Combat,"Hamas attack triggers IDF response with over 5,000 terrorists infiltrating; IDF airstrikes begin",0,Low,"Initial breach and retaliation","https://www.timesofisrael.com/767-troops-faced-5000-terrorists-gaza-division-was-overrun-for-hours-idf-oct-7-probe/"
2023-10-25,Gaza,Combat,"Givati Brigade and 162nd Armoured Division raid up to 1 km into northern Gaza",1,Medium,"Limited territorial penetration before ground invasion","https://www.timesofisrael.com/idf-tanks-troops-briefly-push-into-gaza-strip-ahead-of-ground-offensive/"
2023-10-27,Gaza,Combat,"Three-axis ground offensive launched to divide Gaza Strip",6,High,"Full-width ground invasion across Gaza","https://www.cnn.com/2023/10/31/middleeast/map-israel-ground-operation-gaza-military-movement-dg/index.html"
2023-11-03,Gaza,Combat,"IDF reaches approx 1 km from completely encircling Gaza City",5.5,High,"Near-complete Gaza City encirclement","https://www.cnn.com/2023/11/03/middleeast/israel-advance-gaza-city-map-intl-cmd/index.html"
2023-11-03,Gaza,Territorial_Control,"Complete encirclement of Gaza City; main routes cut",6,High,"Operational encirclement of Gaza City","https://www.nbcnews.com/news/world/israel-hamas-war-ground-assault-gaza-city-rcna123462"
2024-01-15,Gaza,Territorial_Control,"Northern Gaza under sustained Israeli control; shift to low-intensity fighting",6,High,"Phase transition to consolidation","https://en.wikipedia.org/wiki/Gaza_war"
2024-01-22,Gaza,Combat,"IDF encircles Khan Younis; advances towards Mediterranean coast",3,Medium,"Southern Gaza coastal advance","https://www.washingtonpost.com/world/2024/01/23/israel-hamas-war-news-gaza-palestine-updates/"
2024-02-04,Gaza,Combat,"Raid on Hamas Khan Younis Brigade HQ; discovery of training areas",0.5,Medium,"Targeting Hamas command infrastructure","https://www.fdd.org/analysis/2024/02/05/israel-raids-khan-younis-brigade-compound"
2024-04-07,Gaza,Territorial_Control,"IDF withdraws ground forces from Khan Younis, maintains Netzarim Corridor control",0,Low,"Strategic redeployment for Rafah assault","https://edition.cnn.com/2024/04/07/middleeast/israel-khan-younis-withdrawal-gaza-intl/index.html"
2024-05-07,Gaza,Territorial_Control,"Israeli forces seize operational control of Rafah border crossing",0,High,"Full control of Egypt-Gaza border crossing","https://www.washingtonpost.com/world/2024/05/07/rafah-israel-gaza-egypt-crossing/"
2024-05-29,Gaza,Territorial_Control,"Complete operational control of 14 km Philadelphi Corridor along Egypt border",14,High,"Control of Gaza-Egypt border corridor; tunnel neutralization","https://www.cnn.com/middleeast/live-news/israel-hamas-war-gaza-news-05-29-24/index.html"
2024-07-22,Gaza,Combat,"Israeli tanks advance more than 2 km into Bani Suheila, Khan Younis area",2,High,"Deepest documented penetration in southern Gaza urban zone","https://en.wikipedia.org/wiki/22_July_2024_Khan_Yunis_attack"
2025-03-18,Gaza,Combat,"Operation Gideon's Chariots begins after ceasefire breakdown",0,Medium,"Renewed offensive with territorial occupation goals","https://acleddata.com/2025/05/29/qa-what-do-israels-shifting-tactics-in-gaza-tell-us-about-whats-ahead/"
2025-05-01,Gaza,Territorial_Control,"Israel controls approx 40% of Gaza Strip, aims for 75% within two months",0,High,"Large-scale territorial control and civilian concentration plan","https://www.timesofisrael.com/idf-aims-to-capture-75-of-gaza-strip-in-2-months-in-new-offensive-against-hamas/"
2023-11-01,Lebanon,Combat,"IDF special forces conduct over 70 covert raids several km from border, targeting Hezbollah",3,Medium,"Extended covert operations targeting tunnels and weapons sites","https://www.timesofisrael.com/"
2024-09-23,Lebanon,Combat,"Massive aerial bombardment begins; 25 villages ordered evacuated north of Awali River",0,Medium,"Preparation for ground operations and weakening Hezbollah infrastructure","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)"
2024-10-01,Lebanon,Combat,"Official limited ground raids with initial penetration of hundreds of meters",0.2,Medium,"First ground incursions with 45,000 troops deployed","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)"
2024-10-07,Lebanon,Territorial_Control,"Israeli flag raised on Maroun al-Ras; operations in Ayta ash-Shab, Kafr Kila",1,Medium,"Village-level control and symbolic presence","https://en.wikipedia.org/wiki/Israel%E2%80%93Hezbollah_conflict_(2023%E2%80%93present)"
2024-11-26,Lebanon,Combat,"IDF reaches Litani River for first time since 2000; maximum penetration approx 10 km",10,High,"Strategic depth in Lebanon with major territorial control gains","https://www.timesofisrael.com/idf-troops-reach-litani-river-first-time-since-2000/"
2024-11-27,Lebanon,Territorial_Control,"Ceasefire agreement; Israeli withdrawal timeline initiated",0,Low,"Start of operational de-escalation and peacekeeping deployment","UNIFIL Statement"
2025-01-26,Lebanon,Territorial_Control,"Incomplete withdrawal; IDF maintains 5 outposts 2-10 km inside Lebanon",5,Medium,"Continued strategic presence in southern Lebanon","UNIFIL Statement"
