id,date,days_from_start,title_hebrew,description_hebrew,source,category,stance,could_have_ended,show
"1","2023-10-07","0","התקפת חמאס ותגובת צה"ל","Initial breach and retaliation","https://www.timesofisrael.com/767-troops-faced-5000-terrorists-gaza-division-was-overrun-for-hours-idf-oct-7-probe/","military","","no","show"
"2","2023-10-25","18","פשיטת חטיבת גבעתי לצפון עזה","Limited territorial penetration before ground invasion","https://www.timesofisrael.com/idf-tanks-troops-briefly-push-into-gaza-strip-ahead-of-ground-offensive/","military","","no","show"
"3","2023-10-27","20","מתקפה קרקעית בשלושה צירים","Full-width ground invasion across Gaza","https://www.cnn.com/2023/10/31/middleeast/map-israel-ground-operation-gaza-military-movement-dg/index.html","military","","no","show"
"4","2023-11-01","25","פעולות כוחות מיוחדים נגד חזבאללה","Extended covert operations targeting tunnels and weapons sites","https://www.timesofisrael.com/","military","","no","show"
"5","2023-11-03","27","צה"ל מתקרב לכיבוש עיר עזה","Near-complete Gaza City encirclement","https://www.cnn.com/2023/11/03/middleeast/israel-advance-gaza-city-map-intl-cmd/index.html","military","","no","show"
"6","2023-11-03","27","כיבוש מלא של עיר עזה","Operational encirclement of Gaza City","https://www.nbcnews.com/news/world/israel-hamas-war-ground-assault-gaza-city-rcna123462","military","","no","show"
"7","2023-11-05","29","הצעת פצצה גרעינית של אליהו","שר המורשת אמיחי אליהו הציע להטיל פצצה גרעינית על עזה כאופציה במלחמה נגד חמאס","https://www.timesofisrael.com/far-right-minister-says-nuking-gaza-an-option-pm-suspends-him-from-cabinet-meetings/","extremist_statement","extreme","no","show"
"8","2023-11-22","46","עסקת החטופים והפסקת אש הראשונה","הסכם לשחרור 105 חטופים תמורת 240 אסירים פלסטינים במהלך הפסקת אש של שבוע שהוארכה פעמיים","https://www.timesofisrael.com/after-15-months-of-war-israel-and-hamas-agree-to-a-ceasefire-hostage-release-deal/","ceasefire_deal","high","yes","show"
"9","2023-11-30","54","בן גביר מאיים לפרק את הקואליציה אם תמשך הפסקת האש","בן גביר איים ""הפסקת המלחמה = פירוק הממשלה"" במהלך ההפסקה הזמנית לשחרור חטופים","https://www.timesofisrael.com/internal-pressure-builds-to-end-truce-as-israel-weighs-extending-it-into-an-eighth-day/?utm_source=chatgpt.com","coalition_threat","extreme","no","show"
"10","2023-12-15","69","אולטימטום בן גביר לנתניהו","בן גביר דרש שהמלחמה תמשיך ""בכוח מלא"" או שיעזוב את הקואליציה וינגד פינוי עזה","https://www.timesofisrael.com/ben-gvir-said-seeking-partnership-with-smotrich-to-thwart-emerging-hostage-deal/","coalition_threat","extreme","no","show"
"11","2024-01-01","86","יציאת חמש חטיבות מעזה","צה""ל החל למשוך חמישה חטיבות מהלחימה ברצועת עזה כדי לעבור לשלב של לחימה מדויקת יותר","https://www.timesofisrael.com/as-2024-begins-idf-releases-5-brigades-from-gaza-but-says-fighting-likely-all-year/","military_withdrawal","medium","yes","show"
"12","2024-01-15","100","שליטה ישראלית בצפון עזה","Phase transition to consolidation","https://en.wikipedia.org/wiki/Gaza_war","military","","no","show"
"13","2024-01-22","107","כיבוש חאן יונס והתקדמות לחוף","Southern Gaza coastal advance","https://www.washingtonpost.com/world/2024/01/23/israel-hamas-war-news-gaza-palestine-updates/","military","","no","show"
"14","2024-01-28","113","כנס ההתנחלות בירושלים","12 שרי ממשלה כולל בן גביר וסמוטריץ השתתפו בכנס הקורא להתיישבות יהודית בעזה","https://www.timesofisrael.com/12-ministers-call-to-resettle-gaza-encourage-gazans-to-leave-at-jubilant-conference/","extremist_statement","extreme","no","hide"
"15","2024-02-04","120","פשיטה על מפקדת חמאס בחאן יונס","Targeting Hamas command infrastructure","https://www.fdd.org/analysis/2024/02/05/israel-raids-khan-younis-brigade-compound","military","","no","show"
"16","2024-03-25","170","החלטת מועצת הביטחון של האו""ם","החלטה ראשונה של מועצת הביטחון הקוראת להפסקת אש בעזה עם הימנעות ארה""ב במקום וטו","https://www.reuters.com","diplomatic_initiative","medium","yes","hide"
"17","2024-04-07","183","נסיגת צה""ל מחאן יונס","צה""ל פינה את כוחותיה הקרקעיים מחאן יונס לאחר חודשים של לחימה עזה והותיר רק כוחות מינימליים","https://www.timesofisrael.com/idf-withdraws-ground-troops-from-south-gaza-leaving-just-one-brigade-in-enclave/","military_withdrawal","medium","yes","show"
"18","2024-04-07","183","נסיגת צה"ל מחאן יונס","Strategic redeployment for Rafah assault","https://edition.cnn.com/2024/04/07/middleeast/israel-khan-younis-withdrawal-gaza-intl/index.html","military","","yes","show"
"19","2024-04-15","191","איום סמוטריץ שעצר עסקת חטופים","סמוטריץ איים לקרוס את הממשלה ברגע האחרון מה שגרם לנתניהו לבטל הצגת עסקת שחרור 30 חטופים","https://www.timesofisrael.com/netanyahu-said-to-have-shelved-april-2024-gaza-truce-after-smotrich-threat-to-government/","coalition_threat","critical","no","show"
"20","2024-04-30","206","איום סמוטריץ לפירוק הממשלה בעקבות שיחות על הסכם","סמוטריץ הזהיר נתניהו שאם יסכים לעסקה ""הממשלה שלך לא תהיה זכות קיום""","https://www.npr.org/2024/04/30/1248276817/israel-invade-gaza-rafah-hostage-deal-netanyahu","coalition_threat","extreme","no","show"
"21","2024-05-06","212","חמאס מקבל את הצעת קטאר","חמאס הסכים להצעה המתמשכת של מצרים וקטר לעסקה הכוללת הפסקת אש קבועה בעוד ישראל דחתה","https://www.cnn.com/2024/06/02/middleeast/israeli-ministers-biden-ceasefire-plan-intl/index.html","ceasefire_proposal","high","yes","show"
"22","2024-05-07","213","השתלטות על מעבר רפיח","Full control of Egypt-Gaza border crossing","https://www.washingtonpost.com/world/2024/05/07/rafah-israel-gaza-egypt-crossing/","military","","no","show"
